38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2009,,,2009,,,2009,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,15.44,-,-,24.37,-,-,21.8
SUMATERA UTARA,-,-,11.45,-,-,11.56,-,-,11.51
SUMATERA BARAT,-,-,7.5,-,-,10.6,-,-,9.54
RIAU,-,-,8.04,-,-,10.93,-,-,9.48
JAMBI,-,-,12.71,-,-,6.88,-,-,8.77
SUMATERA SELATAN,-,-,16.93,-,-,15.87,-,-,16.28
BENGKULU,-,-,19.16,-,-,18.28,-,-,18.59
LAMPUNG,-,-,16.78,-,-,21.49,-,-,20.22
KEP. BANGKA BELITUNG,-,-,5.86,-,-,8.93,-,-,7.46
KEP. RIAU,-,-,7.63,-,-,8.98,-,-,8.27
DKI JAKARTA,-,-,3.62,-,-,-,-,-,3.62
JAWA BARAT,-,-,10.33,-,-,14.28,-,-,11.96
JAWA TENGAH,-,-,15.41,-,-,19.89,-,-,17.72
DI YOGYAKARTA,-,-,14.25,-,-,22.6,-,-,17.23
JAWA TIMUR,-,-,12.17,-,-,21,-,-,16.68
BANTEN,-,-,5.62,-,-,10.7,-,-,7.64
BALI,-,-,4.5,-,-,5.98,-,-,5.13
NUSA TENGGARA BARAT,-,-,28.84,-,-,18.4,-,-,22.78
NUSA TENGGARA TIMUR,-,-,14.01,-,-,25.35,-,-,23.31
KALIMANTAN BARAT,-,-,7.23,-,-,10.09,-,-,9.3
KALIMANTAN TENGAH,-,-,4.45,-,-,8.34,-,-,7.02
KALIMANTAN SELATAN,-,-,4.82,-,-,5.33,-,-,5.12
KALIMANTAN TIMUR,-,-,4,-,-,13.86,-,-,7.73
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,8.14,-,-,11.05,-,-,9.79
SULAWESI TENGAH,-,-,10.09,-,-,21.35,-,-,18.98
SULAWESI SELATAN,-,-,4.94,-,-,15.81,-,-,12.31
SULAWESI TENGGARA,-,-,4.96,-,-,23.11,-,-,18.93
GORONTALO,-,-,7.89,-,-,32.82,-,-,25.01
SULAWESI BARAT,-,-,12.59,-,-,16.65,-,-,15.29
MALUKU,-,-,11.03,-,-,34.3,-,-,28.23
MALUKU UTARA,-,-,3.1,-,-,13.42,-,-,10.36
PAPUA BARAT,-,-,5.22,-,-,44.71,-,-,35.71
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,6.1,-,-,46.81,-,-,37.53
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,10.72,-,-,17.35,-,-,14.15
