38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2011,,,2011,,,2011,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,13.69,-,-,21.87,-,-,19.57
SUMATERA UTARA,-,-,10.75,-,-,11.89,-,-,11.33
SUMATERA BARAT,-,-,7.42,-,-,10.07,-,-,9.04
RIAU,-,-,6.37,-,-,9.83,-,-,8.47
JAMBI,-,-,11.19,-,-,7.53,-,-,8.65
SUMATERA SELATAN,-,-,15.15,-,-,13.73,-,-,14.24
BENGKULU,-,-,17.74,-,-,17.39,-,-,17.5
LAMPUNG,-,-,12.27,-,-,18.54,-,-,16.93
KEP. BANGKA BELITUNG,-,-,4.11,-,-,7.35,-,-,5.75
KEP. RIAU,-,-,7.35,-,-,7.65,-,-,7.4
DKI JAKARTA,-,-,3.75,-,-,-,-,-,3.75
JAWA BARAT,-,-,9.26,-,-,13.32,-,-,10.65
JAWA TENGAH,-,-,14.12,-,-,17.14,-,-,15.76
DI YOGYAKARTA,-,-,13.16,-,-,21.82,-,-,16.08
JAWA TIMUR,-,-,9.87,-,-,18.19,-,-,14.23
BANTEN,-,-,4.61,-,-,9.75,-,-,6.32
BALI,-,-,3.91,-,-,4.65,-,-,4.2
NUSA TENGGARA BARAT,-,-,23.67,-,-,16.9,-,-,19.73
NUSA TENGGARA TIMUR,-,-,12.5,-,-,23.36,-,-,21.23
KALIMANTAN BARAT,-,-,6.33,-,-,9.59,-,-,8.6
KALIMANTAN TENGAH,-,-,3.91,-,-,7.89,-,-,6.56
KALIMANTAN SELATAN,-,-,3.84,-,-,6.34,-,-,5.29
KALIMANTAN TIMUR,-,-,4.06,-,-,11.21,-,-,6.77
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,7.46,-,-,9.37,-,-,8.51
SULAWESI TENGAH,-,-,9.46,-,-,17.89,-,-,15.83
SULAWESI SELATAN,-,-,4.61,-,-,13.57,-,-,10.29
SULAWESI TENGGARA,-,-,4.8,-,-,18.24,-,-,14.56
GORONTALO,-,-,5.37,-,-,25.65,-,-,18.75
SULAWESI BARAT,-,-,10.77,-,-,14.83,-,-,13.89
MALUKU,-,-,10.24,-,-,30.54,-,-,23
MALUKU UTARA,-,-,2.8,-,-,11.58,-,-,9.18
PAPUA BARAT,-,-,6.05,-,-,39.56,-,-,31.92
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,4.6,-,-,41.58,-,-,31.98
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,9.23,-,-,15.72,-,-,12.49
